Umsteigebauwerke,,,,,,,,,,,,,
,,,,,,,,,,,,,
Typ,Nr.,Name,Umsteigebauwerk_niveau  ,X,Y,Exportnummer,HAFAS-Nr.,,,,,,
Bauwerk,1,U Nollendorfplatz,,4592040,5819360,56102,9056102,,,,,,
Zwischenpunkt,23,Bahnsteig U1/U3 (Aufzug Else-Lasker-Schüler-Straße),-2,4592121,5819403,9700123,,,,,,,
Zwischenpunkt,14,Schalterhalle (Treppe zum Treppenabsatz),0,4592024,5819348,9700114,,,,,,,
Zwischenpunkt,27,Treppenabsatz (Treppe zum Bahnsteig U2 Richtung Pankow),1,4592030,5819347,9700127,,,,,,,
Zwischenpunkt,32,Bahnsteig U2 Richtung Ruhleben (Fahrtreppe zum Treppenabsatz),2,4592040,5819359,9700132,,,,,,,
Zwischenpunkt,34,Bahnsteig U1/U3/U4 (Treppe zur Schalterhalle),-1,4592040,5819359,9700134,,,,,,,
Zwischenpunkt,35,Bahnsteig U1/U3/U4 (Rolltreppe zur Schalterhalle),-1,4592040,5819359,9700135,,,,,,,
Zwischenpunkt,36,Bahnsteig U1/U3/U4 (Treppe1 zum Bahnsteig U1/U3),-1,4592040,5819359,9700136,,,,,,,
Zugang,18,"Zugang (Treppe) Bülowstraße, U2 Richtung Ruhleben",0,4592157,5819317,9700118,,,,,,,
Zugang,19,"Zugang (Aufzug) Bülowstraße, U2 Richtung Ruhleben",0,4592104,5819338,9700119,,,,,,,
Zwischenpunkt,21,Bahnsteig U2 Richtung Pankow (Aufzug),2,4592102,5819321,9700121,,,,,,,
Zugang und ÖV,7,Bushaltestelle Nollendorfplatz vor Maaßenstraße,0,4592028,5819311,9700107,,,,,,,
Zugang,11,"Zugang (Aufzug) Bülowstraße, U2 Richtung Pankow",0,4592099,5819322,9700111,,,,,,,
ÖV,2,Bahnsteig Gleis 1 U2 Richtung Ruhleben,2,4592040,5819360,9700102,,,,,,,
Zwischenpunkt,20,Bahnsteig U2 Richtung Ruhleben (Aufzug),2,4592107,5819337,9700120,,,,,,,
Zugang und ÖV,6,Bushaltestelle Nollendorfplatz hinter Einemstraße,0,4591997,5819404,9700106,,,,,,,
Zwischenpunkt,42,Bahnsteig U1/U3 (Treppe2 zum Bahnsteig U1/U3/U4),-2,4592040,5819360,9700142,,,,,,,
Zwischenpunkt,39,Bahnsteig U1/U3 (Treppe1 zum Bahnsteig U1/U3/U4),-2,4592040,5819359,9700139,,,,,,,
Zugang,10,Zugang (Schalterhalle) Kleiststraße/Einemstraße,0,4592017,5819372,9700110,,,,,,,
Zwischenpunkt,41,Bahnsteig U1/U3/U4 (Treppe2 zum Bahnsteig U1/U3),-1,4592040,5819360,9700141,,,,,,,
Zwischenpunkt,8,Bahnsteig U2 Richtung Ruhleben (Treppe) Bülowstraße,2,4592153,5819318,9700108,,,,,,,
Zwischenpunkt,25,Bahnsteig U2 Richtung Pankow (Treppe zum Treppenabsatz),2,4592034,5819345,9700125,,,,,,,
Zwischenpunkt,38,Bahnsteig U1/U3/U4 (Treppe Else-Lasker-Schüler-Straße),-1,4592040,5819359,9700138,,,,,,,
ÖV,3,Bahnsteig Gleis 2+4 U1/U3/U4,-1,4592040,5819360,9700103,,,,,,,
ÖV,4,Bahnsteig Gleis 1+3 U1/U3/U4,-2,4592040,5819360,9700104,,,,,,,
Zugang,12,Zugang (Treppe) Else-Lasker-Schüler-Straße,0,4592107,5819396,9700112,,,,,,,
Zugang,13,"Zugang (Treppe) Bülowstraße, U2 Richtung Pankow",0,4592154,5819308,9700113,,,,,,,
Zwischenpunkt,15,Schalterhalle (Treppe zum Bahnsteig U1/U3/U4),0,4592029,5819360,9700115,,,,,,,
Zwischenpunkt,28,Treppenabsatz (Treppe zur Schalterhalle),1,4592031,5819358,9700128,,,,,,,
Zwischenpunkt,31,Treppenabsatz (Rolltreppe zum Bahnsteig U2 Richtung Pankow),1,4592040,5819359,9700131,,,,,,,
Zwischenpunkt,37,Bahnsteig U1/U3/U4 (Rolltreppe zum Bahnsteig U1/U3),-1,4592040,5819359,9700137,,,,,,,
Zwischenpunkt,9,Bahnsteig U2 Richtung Pankow (Treppe) Bülowstraße,2,4592150,5819309,9700109,,,,,,,
Zwischenpunkt,40,Bahnsteig U1/U3 (Rolltreppe zum Bahnsteig U1/U3/U4),-2,4592040,5819360,9700140,,,,,,,
Zugang,16,Zugang (Schalterhalle) Kleiststraße/Maaßenstraße,0,4592008,5819345,9700116,,,,,,,
Zugang,17,Zugang (Aufzug) Else-Lasker-Schüler-Straße,0,4592121,5819404,9700117,,,,,,,
Zwischenpunkt,22,Bahnsteig U1/U3/U4 (Aufzug Else-Lasker-Schüler-Straße),-1,4592120,5819405,9700122,,,,,,,
Zugang und ÖV,5,Bushaltestelle Nollendorfplatz  vor Bülowstraße,0,4592081,5819352,9700105,,,,,,,
Zwischenpunkt,24,Bahnsteig U2 Richtung Ruhleben (Treppe zum Treppenabsatz),2,4592039,5819356,9700124,,,,,,,
Zwischenpunkt,26,Treppenabsatz (Treppe zum Bahnsteig U2 Richtung Ruhleben),1,4592034,5819357,9700126,,,,,,,
Zwischenpunkt,29,Schalterhalle (Rolltreppe zum Bahnsteig U1/U3/U4),0,4592040,5819359,9700129,,,,,,,
Zwischenpunkt,30,Treppenabsatz (Rolltreppe zum Bahnsteig U2 Richtung Ruhleben),1,4592040,5819359,9700130,,,,,,,
Zwischenpunkt,33,Bahnsteig U2 Richtung Pankow (Fahrtreppe zum Treppenabsatz),2,4592040,5819359,9700133,,,,,,,
ÖV,1,Bahnsteig Gleis 2 U2 Richtung Pankow,2,4592040,5819360,9700101,,,,,,,
,,,,,,,,,,,,,
Bauwerk,3,S+U Alexanderplatz Bhf,,4596000,5821830,100003,9100003,,,,,,
Zwischenpunkt,140,Zwischengeschoss U5/Verteiler (Treppe 2 zum Verteiler),-3,4596000,5821830,9701140,,,,,,,
Zwischenpunkt,58,Untergeschoss Empfangshalle (Rolltreppe zur Empfangshalle Nähe Dircksenstraße),-1,4595875,5821884,9701058,,,,,,,
Zwischenpunkt,62,"Bahnsteig U2 (Aufzug  Zwischengeschoss U5/U2,Bahnsteig U5 Hönow und Zugang)",-1,4596068,5821877,9701062,,,,,,,
Zwischenpunkt,70,Zwischengeschoss U5/U2 (Treppe 1 zum Bahnsteig U5 Hönow),-3,4596000,5821830,9701070,,,,,,,
Zwischenpunkt,60,Bahnsteig U2 (Treppe1 zum Zwischengeschoss U5/U2),-1,4596069,5821877,9701060,,,,,,,
Zwischenpunkt,65,Zwischengeschoss U5/U2 (Aufzug zum Bahnsteig U2 und Bahnsteig U5 S+U Alexanderplatz Bhf.),-3,4596000,5821830,9701065,,,,,,,
Zwischenpunkt,66,Zwischengeschoss U5/U2 (Treppe 2 zum Bahnsteig U2),-3,4596000,5821831,9701066,,,,,,,
Zwischenpunkt,68,Zwischengeschoss U5/U2 (Treppe zur Ladenstraße),-3,4596002,5821831,9701068,,,,,,,
Zwischenpunkt,78,Zwischengeschoss Unterführung (Rolltreppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.),-1,4596248,5821943,9701078,,,,,,,
Zwischenpunkt,79,Zwischengeschoss Unterführung (Treppe zum Bahnsteig U5 Hönow),-1,4596257,5821954,9701079,,,,,,,
Zwischenpunkt,105,"Bahnsteig U5 S+U Alexanderplatz Bhf. (Aufzug zum Bahnsteig U8,Verteiler und Zugang)",-5,4596082,5821896,9701105,,,,,,,
Zwischenpunkt,110,Bahnsteig U5 S+U Alexanderplatz Bhf. (Aufzug zum Bahnsteig U2 und Zwischengeschoss U5/U2),-5,4596082,5821895,9701110,,,,,,,
Zwischenpunkt,111,Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe zum Zwischengeschoss Unterführung),-5,4596082,5821896,9701111,,,,,,,
Zwischenpunkt,119,Bahnsteig U5 Hönow (Aufzug zum Bahnsteig U2 und Zwischengeschoss U5/U2 und Zugang),-5,4596086,5821891,9701119,,,,,,,
Zwischenpunkt,124,Ladenstr. (Treppe Grunerstraße/Weltzeituhr),-2,4596026,5821849,9701124,,,,,,,
Zwischenpunkt,123,Ladenstr. (Treppe zum Zwischengeschoss U5/Verteiler),-2,4596026,5821848,9701123,,,,,,,
Zwischenpunkt,121,Bahnsteig U5 Hönow (Rolltreppe zum Zwischengeschoss Unterführung),-5,4596086,5821891,9701121,,,,,,,
Zwischenpunkt,126,Verteiler (Treppe 1 zum Bahnsteig U8),-1,4595981,5821779,9701126,,,,,,,
Zwischenpunkt,127,Verteiler (Treppe 2 zum Bahnsteig U8),-1,4595982,5821778,9701127,,,,,,,
Zwischenpunkt,125,Ladenstr. (Treppe zum Zwischengeschoss U5/U2),-2,4596025,5821849,9701125,,,,,,,
Zwischenpunkt,129,Verteiler (Aufzug zum Bahnsteig U5 und Bahnsteig U8),-1,4595982,5821779,9701129,,,,,,,
Zwischenpunkt,133,Verteiler (Rolltreppe zum Bahnsteig U5 Hönow),-1,4595982,5821779,9701133,,,,,,,
Zugang,17,Zugang (Empfangshalle) Gontard-/Panoramastraße/Fernsehturm,0,4595828,5821903,9701017,,,,,,,
Zugang,21,Zugang (Aufzug) U5/U8,0,4595984,5821832,9701021,,,,,,,
Zugang,20,Zugang (Empfangshalle) Rathausstraße,0,4595950,5821810,9701020,,,,,,,
Zwischenpunkt,39,Bahnsteig S5/7/75/3 (Treppe Bahnsteig -Ende zur Empfangshalle),1,4595876,5821876,9701039,,,,,,,
Zwischenpunkt,73,Zwischengeschoss U5/U2 (Treppe zum Zwischengeschoss Unterführung),-3,4596000,5821830,9701073,,,,,,,
Zwischenpunkt,57,Untergeschoss Empfangshalle (Rolltreppe Empfangshalle Nähe Gontardstraße),-1,4595875,5821885,9701057,,,,,,,
Zwischenpunkt,100,Zwischengeschoss U5/U8 (Treppe 1 zum Bahnsteig U8),-4,4596000,5821832,9701100,,,,,,,
Zwischenpunkt,116,Bahnsteig U5 Hönow (Treppe zum Zwischengeschoss U5/Verteiler),-5,4596087,5821892,9701116,,,,,,,
Zugang,142,Zugang (Treppe) Rathaus-/Gontardstraße/Berliner Rathaus,0,4595963,5821760,9701142,,,,,,,
Zwischenpunkt,138,Zwischengeschoss U5/Verteiler (Treppe zur Ladenstraße),-3,4596000,5821830,9701138,,,,,,,
Zwischenpunkt,72,Zwischengeschoss U5/U2 (Treppe 2 zum Bahnsteig U5 Hönow),-3,4596000,5821831,9701072,,,,,,,
Zwischenpunkt,74,Zwischengeschoss U5/U2 (Rolltreppe zum Zwischengeschoss Unterführung),-3,4596000,5821831,9701074,,,,,,,
Zwischenpunkt,80,Zwischengeschoss Unterführung (Rolltreppe zum Bahnsteig U5 Hönow),-1,4596251,5821946,9701080,,,,,,,
Zwischenpunkt,109,Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe 1 zum Zwischengeschoss U5/U2),-5,4596081,5821896,9701109,,,,,,,
Zwischenpunkt,128,"Verteiler (Aufzug zum Bahnsteig U5,Bahnsteig U8 und Zugang)",-1,4595981,5821779,9701128,,,,,,,
Zwischenpunkt,132,Verteiler (Fahrtreppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.),-1,4595982,5821779,9701132,,,,,,,
Zwischenpunkt,43,Empfangshalle (Rolltreppe zum Fahrtreppe Bahnsteig -Mitte),0,4595873,5821871,9701043,,,,,,,
Zwischenpunkt,46,Empfangshalle (Treppe zum Bahnsteig -Anfang S5/7/75/3),0,4595918,5821853,9701046,,,,,,,
Zugang,15,Zugang (Empfangshalle) Gontardstraße/Tram,0,4595913,5821816,9701015,,,,,,,
Zwischenpunkt,36,Bahnsteig S5/7/75/3 (Rolltreppe Bahnsteig -Mitte zur Empfangshalle),1,4595876,5821876,9701036,,,,,,,
Zwischenpunkt,63,Bahnsteig U2 (Treppe 2 zum Zwischengeschoss U5/U2),-1,4596068,5821878,9701063,,,,,,,
Zwischenpunkt,56,Untergeschoss Empfangshalle (Treppe zur Empfangshalle),-1,4595875,5821885,9701056,,,,,,,
Zwischenpunkt,61,Bahnsteig U2 (Aufzug zum Zwischengeschoss U5/U2 und Bahnsteig U5 S+U Alexanderplatz Bhf.),-1,4596068,5821877,9701061,,,,,,,
Zwischenpunkt,59,Bahnsteig U2 (Treppe Alexander-/Grunerstraße),-1,4596068,5821878,9701059,,,,,,,
Zwischenpunkt,75,Zwischengeschoss Unterführung (Treppe zum Zwischengeschoss U5/U2),-1,4596257,5821954,9701075,,,,,,,
Zwischenpunkt,102,Zwischengeschoss U5/U8 (Treppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.),-4,4596000,5821830,9701102,,,,,,,
Zwischenpunkt,101,Zwischengeschoss U5/U8 (Treppe 2 zum Bahnsteig U8),-4,4596000,5821831,9701101,,,,,,,
Zwischenpunkt,107,Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe zum Zwischengeschoss U5/Verteiler),-5,4596082,5821896,9701107,,,,,,,
Zwischenpunkt,114,Bahnsteig U5 Hönow (Aufzug zum Bahnsteig U8 und Verteiler),-5,4596087,5821891,9701114,,,,,,,
Zwischenpunkt,112,Bahnsteig U5 S+U Alexanderplatz Bhf. (Rolltreppe zum Zwischengeschoss Unterführung),-5,4596082,5821896,9701112,,,,,,,
Zwischenpunkt,118,Bahnsteig U5 Hönow (Treppe 1 zum Zwischengeschoss U5/U2),-5,4596087,5821891,9701118,,,,,,,
Zwischenpunkt,136,Zwischengeschoss U5/Verteiler (Treppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.),-3,4596000,5821831,9701136,,,,,,,
Zugang,18,Zugang (Empfangshalle) Dircksen-/Karl-Liebknecht-Straße,0,4595854,5821932,9701018,,,,,,,
ÖV,5,"Bahnsteig Gleis 3/4 S5,S7,S75,S3",1,4595876,5821876,9701005,,,,,,,
Zwischenpunkt,50,Empfangshalle (Rolltreppe zum Bahnsteig -Ende S5/S7/S75/S3),0,4595849,5821919,9701050,,,,,,,
Zwischenpunkt,30,Bahnsteig (Rolltreppe Bahnsteig -Anfang zur Empfangshalle),1,4595884,5821885,9701030,,,,,,,
Zwischenpunkt,29,Bahnsteig (Treppe zur Empfangshalle),1,4595885,5821884,9701029,,,,,,,
Zwischenpunkt,44,Empfangshalle (Rolltreppe zum  Bahnsteig -Ende),0,4595841,5821904,9701044,,,,,,,
Zugang,16,Zugang (Empfangshalle) Gontardstraße/Fernsehturm,0,4595877,5821853,9701016,,,,,,,
Zugang,144,Zugang (Treppe) Alexanderplatz/ Karl-Liebknecht-Straße/Galeria Kaufhof,0,4595940,5821891,9701144,,,,,,,
Zugang,146,Zugang (Treppe) Alexander-/Memhard-/Karl-Liebknecht-Straße/Galeria Kaufhof,0,4596024,5821949,9701146,,,,,,,
Zwischenpunkt,139,Zwischengeschoss U5/Verteiler (Treppe 1 zum Verteiler),-3,4596000,5821830,9701139,,,,,,,
